enjoyment,sadness,fear,anger,disgust
AFFECTIONATE,sad,AFRAID,ANNOYED,AVERSION
friendly,anguished,apprehensive,aggravated,appalled
loving,bereaved,wary,disgruntled,dislike
warm,devastated,worried,displeased,repulsed
HOPEFUL,grief,alarmed,exasperated,EMBARRASSED
expectant,heartbroken,frightened,frustrated,ashamed
encouraged,hurt,foreboding,impatient,chagrined
optimistic,miserable,scared,irritated,mortified
CONFIDENT,regretful,dread,irked,self-conscious
empowered,remorseful,petrified,ANGRY,guilty
proud,dejected,desperate,enraged,self-loathing
safe,despair,panicked,furious,animosity
secure,despondent,horrified,incensed,contempt
EXCITED,discouraged,terrified,indignant,hate
animated,disheartened,leery,irate,loathing
ardent,forlorn,reserved,livid,hostile
aroused,gloomy,hesitant,outraged,revulsion
dazzled,heavy hearted,anxious,resentful,
eager,hopeless,nervous,cranky,
enthusiastic,melancholy,vigilant,irritable,
giddy,resigned,stressed out,,
invigorated,unhappy,suspicious,,
lively,wretched,VULNERABLE,,
vibrant,dismayed,fragile,,
GRATEFUL,disappointed,guarded,,
appreciative,nostalgic,helpless,,
moved,wistful,insecure,,
thankful,,sensitive,,
touched,,distressed,,
INSPIRED,,distraught,,
amazed,,unnerved,,
wonder,,,,
JOYFUL,,,,
amused,,,,
delighted,,,,
glad,,,,
happy,,,,
jubilant,,,,
pleased,,,,
tickled,,,,
EXHILARATED,,,,
blissful,,,,
ecstatic,,,,
elated,,,,
enthralled,,,,
exuberant,,,,
radiant,,,,
rapturous,,,,
thrilled,,,,
PEACEFUL,,,,
comfortable,,,,
content,,,,
fulfilled,,,,
relaxed,,,,
relieved,,,,
satisfied,,,,
