connected,grasping,disconnected,surprise,confusion,aversion
calm,intrigued,aloof,startled,disconcerted,perturbed
still,anticipation,inattentive,,perplexed,uncomfortable
serene,impatient,bored,,puzzled,uneasy
equanimous,lonely,detached,,doubtful,
clear headed,,passive,,,
patient,,indifferent,,,
grounded,,distracted,,,
attentive,,removed,,,
neutral,,uninterested,,,
self-possessed,,,,,
untroubled,,,,,
unbothered,,,,,
open hearted,,,,,
tranquil,,,,,
mellow,,,,,
quiet,,,,,
awake,,,,,
tender,,,,,
centered,spellbound,withdrawn,,torn,disquiet
curious,craving,denial,astonished,ambivalent,disturbed
interested,absorbed,apathetic,surprise,confused,agitated
ENGAGED,engrossed,cold,,bewildered,troubled
stimulated,enchanted,distant,,mystified,
involved,entranced,spaced out,,unsettled,
compassionate,fascinated,zoned out,,frazzled,
open,passionate,,,rattled,
connected,YEARNING,,,flustered,
,envious,,,,
loving-kindness,longing,,,,
sympathetic,pining,,,,
generous,,,,,
forgiving,,,,,
awe,limerence,alienated,shocked,baffled,turbulent
flow,obsessed,depressed,,discombobulated,turmoil
empathetic,greedy,lost,,delusional,out of control
concentration,horny,,,,defensive
,addicted,burnt out,,,schadenfreude
,aggressive,stuck,,,neurotic
,jealous,numb,,,aggressive
,,disassociation,,,
,overwhelm,overwhelm,overwhelm,overwhelm,overwhelm
