subsistence,protection,love,community,freedom,creativity,meaning/purpose,rest,understanding
air,safety,connection,equality,choice,learning,participation,play,empathy
food,security,acceptance,family,autonomy,discovery,challenge,joy,support
movement/exercise,stability,affection,mutuality,spontaneity,self-expression,competence,humor,to know and be known
sleep,predictability,appreciation,friendship,independence,stimulation,consciousness,expression,to see/hear and be seen/heard
shelter,consistency,communication,support,assertiveness,growth,contribution,aliveness,to understand and be understood
water,trust,closeness,collaboration,differentiation,celebration of life,efficacy,beauty,be understood
,reassurance,companionship,acknowledgment,,inspiration,effectiveness,celebration,honor
,peace,compassion,cooperation,,,focus,mourning,respect
,communion,consideration,partnership,,,hope,leisure,information
,ease,intimacy,belonging,,,to matter,awareness,clarity
,hope,mutuality,inclusion,,,,presence,
,healing,nurturing,,,,,groundedness,
,harmony,respect,,,,,,
,comfort,self-respect,,,,,,
,order,self-esteem,,,,,,
,structure,touch,,,,,,
,honesty,,,,,,,
,authenticity,,,,,,,
,integrity,,,,,,,
,wholeness,,,,,,,
,fairness,,,,,,,
,justice,,,,,,,
